,school,cwur
1412,"University of Cliforni, Riverside",214
1413,University of Kiel,215
1414,University of Western Austrli,216
1415,Pris Descrtes University,217
1416,University of Connecticut,218
1417,University of Msschusetts Amherst,219
1418,Chinese University of Hong Kong,220
1419,University of Turin,221
1420,University of Mnitob,222
1421,University of Vienn,223
1422,University of Montpellier,224
1423,Mstricht University,225
1424,Ntionl Cheng Kung University,226
1425,"University of Tennessee, Knoxville",227
1426,Complutense University of Mdrid,228
1427,Lvl University,229
1428,RWTH Achen University,230
1429,Université ctholique de Louvin,231
1430,North Crolin Stte University,232
1431,Johnnes Gutenberg University of Minz,233
1432,University of Texs Helth Science Center t Sn Antonio,234
1433,Julius-Mximilin's University of Würzburg,235
1434,Pul Sbtier University - Toulouse III,236
1435,University of Gothenburg,237
1436,University College Dublin,238
1437,University of Science nd Technology of Chin,239
1438,University of Leicester,240
1439,Autonomous University of Brcelon,241
1440,University of Dundee,242
1441,Norwegin University of Science nd Technology,243
1442,Nnjing University,244
1443,Okym University,245
1444,London School of Hygiene & Tropicl Medicine,246
1445,University of Florence,247
1446,University of Cpe Town,248
1447,University of Texs Helth Science Center t Houston,249
1448,Moscow Institute of Physics nd Technology,250
1449,University of Düsseldorf,251
1450,Florid Stte University,252
1451,University of Sussex,253
1452,Thoms Jefferson University,254
1453,Delft University of Technology,255
1454,Virgini Polytechnic Institute nd Stte University,256
1455,University of Lisbon,257
1456,Drexel University,258
1457,Virgini Commonwelth University,259
1458,Oregon Stte University,260
1459,Durhm University,261
1460,University of Tsukub,262
1461,University of Reding,263
1462,Lehigh University,264
1463,Medicl University of Vienn,265
1464,University of Aucklnd,266
1465,University of Kentucky,267
1466,University of Nples Federico II,268
1467,University of Wterloo,269
1468,Chrles University in Prgue,270
1469,Colordo Stte University - Fort Collins,271
1470,Tulne University,272
1471,"University t Bufflo, The Stte University of New York",273
1472,Brndeis University,274
1473,Northestern University,275
1474,Wgeningen University nd Reserch Centre,276
1475,Sun Yt-sen University,277
1476,University of Ulm,278
1477,London School of Economics,279
1478,Vrije Universiteit Brussel,280
1479,University of Delwre,281
1480,Rensseler Polytechnic Institute,282
1481,University of Bergen,283
1482,Queen's University,284
1483,University of Aberdeen,285
1484,Dlhousie University,286
1485,Umeå University,287
1486,University of Duisburg-Essen,288
1487,City College of New York,289
1488,Hiroshim University,290
1489,University of Texs t Sn Antonio,291
1490,Hnnover Medicl School,292
1491,University of Wrwick,293
1492,University of Vlenci,294
1493,University of Pis,295
1494,Ruhr University Bochum,296
1495,Medicl College of Wisconsin,297
1496,University of Louisville,298
1497,University of Bordeux,299
1498,University of South Crolin - Columbi,300
1499,Ntionl nd Kpodistrin University of Athens,301
1500,Leipzig University,302
1501,Medicl University of South Crolin,303
1502,Autonomous University of Mdrid,304
1503,Dlin University of Technology,305
1504,Stellenbosch University,306
1505,Kyungpook Ntionl University,307
1506,University of Porto,308
1507,University of St Andrews,309
1508,Gwngju Institute of Science nd Technology,310
1509,Chullongkorn University,311
1510,University of Antwerp,312
1511,Ximen University,313
1512,"University of Nebrsk, Lincoln",314
1513,Nnki University,315
1514,University of Stuttgrt,316
1515,University of Rome Tor Vergt,317
1516,University of Regensburg,318
1517,Hong Kong University of Science nd Technology,319
1518,Kobe University,320
1519,University of Liège,321
1520,Federl University of Rio de Jneiro,322
1521,Rush University,323
1522,University of Vermont,324
1523,University of York,325
1524,Boston College,326
1525,University of Pvi,327
1526,University of Jen,328
1527,Vit-Slute Sn Rffele University,329
1528,University of Geno,330
1529,Tinjin University,331
1530,Louisin Stte University - Bton Rouge,332
1531,University of Exeter,333
1532,Ntionl Autonomous University of Mexico,334
1533,University of Adelide,335
1534,University of Est Angli,336
1535,York University,337
1536,University of Nvrr,338
1537,University of Oregon,339
1538,"St George's, University of London",340
1539,Indin Institute of Technology Delhi,341
1540,University of Trieste,342
1541,Queen's University Belfst,343
1542,University of Perugi,344
1543,Technicl University of Berlin,345
1544,University of Mrburg,346
1545,University of Innsbruck,347
1546,Eindhoven University of Technology,348
1547,Ben-Gurion University of the Negev,349
1548,University of Oklhom - Normn Cmpus,350
1549,Wesleyn University,351
1550,University of Victori,352
1551,Knss Stte University,353
1552,Hong Kong Polytechnic University,354
1553,Linköping University,355
1554,University of Southern Denmrk,356
1555,University of Otgo,357
1556,Justus Liebig University Giessen,358
1557,University of New Hmpshire,359
1558,College of Willim nd Mry,360
1559,Sn Diego Stte University,361
1560,Simon Frser University,362
1561,University of Sntigo de Compostel,363
1562,Sint Louis University,364
1563,Colordo School of Mines,365
1564,University of Estern Finlnd,366
1565,University of Buenos Aires,367
1566,University of Guelph,368
1567,University of Ferrr,369
1568,Polytechnic University of Ctloni,370
1569,Versilles Sint-Quentin-en-Yvelines University,371
1570,Srlnd University,372
1571,City University of Hong Kong,373
1572,Drmstdt University of Technology,374
1573,Pompeu Fbr University,375
1574,Pontificl Ctholic University of Chile,376
1575,University of Bri Aldo Moro,377
1576,University of Texs Medicl Brnch t Glveston,378
1577,University of Delhi,379
1578,"Wshington Stte University, Pullmn",380
1579,Temple University,381
1580,University of Miln - Bicocc,382
1581,University of Turku,383
1582,Chonnm Ntionl University,384
1583,University of Lorrine,385
1584,Ntionl Chio Tung University,386
1585,Ctholic University of the Scred Hert,387
1586,"University t Albny, SUNY",388
1587,Xi'n Jiotong University,389
1588,Ewh Womns University,390
1589,Jilin University,391
1590,Tokyo Medicl nd Dentl University,392
1591,Scuol Normle Superiore di Pis,393
1592,University of Centrl Florid,394
1593,Innsbruck Medicl University,395
1594,Beijing Norml University,396
1595,Polytechnic University of Miln,397
1596,University of Seville,398
1597,University of Nebrsk Medicl Center,399
1598,Huzhong University of Science nd Technology,400
1599,Kyung Hee University,401
1600,Chlmers University of Technology,402
1601,Brighm Young University,403
1602,University of Cmpins,404
1603,University of Bth,405
1604,Sint Petersburg Stte University,406
1605,Ntionl Tsing Hu University,407
1606,University of Twente,408
1607,University of Albm - Tuscloos,409
1608,Hrbin Institute of Technology,410
1609,University of Veron,411
1610,"Oklhom Stte University, Stillwter",412
1611,Shndong University,413
1612,George Mson University,414
1613,Wuhn University,415
1614,Swedish University of Agriculturl Sciences,416
1615,Concordi University,417
1616,Chib University,418
1617,Kummoto University,419
1618,Tongji University,420
1619,Alto University,421
1620,Chonbuk Ntionl University,422
1621,Peking Union Medicl College,423
