,school,cwur
2121,South Chin Norml University,924
2122,University of Hyderbd,925
2123,Ritsumeikn University,926
2124,Crlos III University of Mdrid,927
2125,University of Cyprus,928
2126,University of Texs t El Pso,929
2127,University of Cádiz,930
2128,Shhid Beheshti University of Medicl Sciences,931
2129,Ntionl Tiwn Norml University,932
2130,Ntionl University of Córdob,933
2131,Federl University of Prná,934
2132,University of Jén,935
2133,"University of Cliforni, Merced",936
2134,University of Wikto,937
2135,University of Centrl Lncshire,938
2136,Federl University of Pernmbuco,939
2137,University of Almerí,940
2138,Federl University of São Crlos,941
2139,Chrles Drwin University,942
2140,Yngzhou University,943
2141,Wrocłw University of Technology,944
2142,Hiroski University,945
2143,Ntionl Tiwn Ocen University,946
2144,Jingsu University,947
2145,Northwestern Polytechnicl University,948
2146,Xingtn University,949
2147,United Arb Emirtes University,950
2148,Gchon University,951
2149,Hllym University,952
2150,Hrbin Engineering University,953
2151,Dokuz Eylül University,954
2152,Jinn University,955
2153,Shirz University,956
2154,Third Militry Medicl University,957
2155,Amirkbir University of Technology,958
2156,Public University of Nvrre,959
2157,Federico Snt Mrí Technicl University,960
2158,Federl University of ABC,961
2159,University of Puerto Rico t Mygüez,962
2160,Southern Medicl University,963
2161,University of Silesi,964
2162,Ain Shms University,965
2163,University of Vlenciennes nd Hinut-Cmbresis,966
2164,Chung Shn Medicl University,967
2165,Ntionl University of Colombi,968
2166,South Chin Agriculturl University,969
2167,Ibrki University,970
2168,Fu Jen Ctholic University,971
2169,Hunn Norml University,972
2170,Ulsn Ntionl Institute of Science nd Technology,973
2171,Federl University of Snt Mri,974
2172,Shenzhen University,975
2173,Tinjin Medicl University,976
2174,Beijing University of Technology,977
2175,University of Reims Chmpgne-Ardenne,978
2176,Yun Ze University,979
2177,"University of Chemistry nd Technology, Prgue",980
2178,University of Limerick,981
2179,Chin Medicl University (PRC),982
2180,Feng Chi University,983
2181,Zhejing University of Technology,984
2182,Novosibirsk Stte University,985
2183,University of Buchrest,986
2184,Bbeș-Bolyi University,987
2185,Mnsour University,988
2186,University of Pu nd Pys de l'Adour,989
2187,Henn Norml University,990
2188,Xidin University,991
2189,Federl University of Bhi,992
2190,Southwest Jiotong University,993
2191,Ryerson University,994
2192,King Abdulziz University,995
2193,University of the Algrve,996
2194,Alexndri University,997
2195,Federl University of Cerá,998
2196,University of A Coruñ,999
2197,Chin Phrmceuticl University,1000
